state,district,tehsil,village,lgd_code,khasra_no,guid
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,193,b0c552ae-8220-437d-97da-99bea4fd50a9
Telangana,Adilabad,Adilabad Rural,Lokari,569000,o/131924,27c59e60-414d-4802-90ea-5237cedd7c54
Telangana,Adilabad,Adilabad Rural,Wanwat,569008,11,e6b2e367-6d51-4eb2-9cbc-4bba3ba1d617
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,15,e6861881-23b0-4c7d-ab4c-7d7f5e156207
Telangana,Adilabad,Adilabad Rural,Jamdapur,568976,21,1eb75ffa-1045-400f-8211-f0014470a6ad
Telangana,Adilabad,Adilabad Rural,Pochera,568979,4/2,9d7a0a30-6c80-4e82-8302-02a5b8842360
Telangana,Adilabad,Adilabad Rural,Jamdapur,568976,138,cf6c662e-49eb-4ccf-a8cf-eb2ae46b09ef
Telangana,Adilabad,Adilabad Rural,Nishaghat,568986,54,00004395-c79d-41a8-b468-cf10632acf66
Telangana,Adilabad,Adilabad Rural,Arli (Buzurg),568987,18,778993ad-8098-4653-a8f2-fbcea571a92c
Telangana,Adilabad,Adilabad Rural,Chanda -T,568983,95,b3a579a0-f7e2-4037-aad3-1cfe6961793a
Telangana,Adilabad,Adilabad Rural,Jamdapur,568976,90/3,a745a41f-9122-4528-9258-b4dbb00cfc47
Telangana,Adilabad,Adilabad Rural,Kottur,568998,6,cdcf0537-df61-48a0-a7d9-7a2571b6d88b
Telangana,Adilabad,Adilabad Rural,Takli,568988,16,4ac46b31-7b15-4f33-bdfb-9c319101c2f5
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,73/30,1b690070-d395-48ba-91ad-e51b8b1b72d5
Telangana,Adilabad,Adilabad Rural,Tantoli,568997,34,238068a6-b4d0-4b1c-985f-ef23edd56a51
Telangana,Adilabad,Adilabad Rural,Jamdapur,568976,87,9730a201-f220-4099-a97a-0ed00e62c3c3
Telangana,Adilabad,Adilabad Rural,Dimma,568978,6,3fa507a4-06a8-45b4-9ffd-ea5f0dc5d603
Telangana,Adilabad,Adilabad Rural,Chinchughat,569004,40/11,d8fe91bf-d53e-483a-a2a2-27645472afc4
Telangana,Adilabad,Adilabad Rural,Anukunta,568993,o/129912,d883aa8d-5b72-4376-aa09-c424a7c380a5
Telangana,Adilabad,Adilabad Rural,Chanda -T,568983,91,273de4e5-494a-40f0-84a1-23984550b244
Telangana,Adilabad,Adilabad Rural,Tantoli,568997,27,e61cd848-e942-4490-8932-e10aa0c2421f
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,73/56,76113ca7-b9b5-4610-a49b-eb2157ea9d10
Telangana,Adilabad,Adilabad Rural,Maleborgaon,569003,6,33944aff-43a7-49b6-9e7c-5a3dbacb6f3d
Telangana,Adilabad,Adilabad Rural,Belluri,569009,o/132719,e51e4647-1db9-4ea8-bb7e-19c7a12023e2
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,73/20,3372c0a9-6a77-48bb-9268-173d7a663a45
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,72,5e169db8-3c1d-4c25-ba89-bf98bcbf230d
Telangana,Adilabad,Adilabad Rural,Khandala,569010,21,af3030b8-1ed7-41ca-a520-e0efec108487
Telangana,Adilabad,Adilabad Rural,Jamdapur,568976,86,6f0db650-88b8-4e77-a29e-e12a6b40916d
Telangana,Adilabad,Adilabad Rural,Ganeshpur,568984,39,65cfda0b-c3b0-4097-970e-fa2dc194bad1
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,73/40,ebe38d39-d6b5-4699-9100-ed868d605ae0
Telangana,Adilabad,Adilabad Rural,Mallapur,568977,38,90bf7511-f224-43aa-81b0-4da412acf8b5
Telangana,Adilabad,Adilabad Rural,Ramai,568990,26,a619e9fc-7374-424e-80d4-8cdca156788a
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,73/1,d520da96-f3fe-461d-a714-9ccd4bf0ea57
Telangana,Adilabad,Adilabad Rural,Pochera,568979,27,0f5d5e49-4441-497a-958a-4673a52e8a3e
Telangana,Adilabad,Adilabad Rural,Arli (Buzurg),568987,63,8dd67473-f338-472a-9566-d80776400b5b
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,149,b294ab60-e362-4576-9414-94485f1f6639
Telangana,Adilabad,Adilabad Rural,Takli,568988,9/2,81b7e87e-afa2-4523-8230-7230dad1b1c4
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,105,eae134a6-65e7-4780-b0df-39b3dd7d9c3b
Telangana,Adilabad,Adilabad Rural,Burnoor,568999,13/11,6c2f3e59-0f14-4ed5-817c-dfb3898a2e17
Telangana,Adilabad,Adilabad Rural,Kachkanti,568996,o/131781,958fb308-f516-43ca-a614-633eaf59da90
Telangana,Adilabad,Adilabad Rural,Ramai,568990,70,0ab290d9-708b-4a96-9e67-b2e5a8007ec7
Telangana,Adilabad,Adilabad Rural,Takli,568988,18,5684f1ef-68ac-4dbe-b4bf-ee6f60c35c5f
Telangana,Adilabad,Adilabad Rural,Lokari,569000,24,68b7f361-5a25-471b-9f73-150ea5da434f
Telangana,Adilabad,Adilabad Rural,Nishaghat,568986,46,07f262d1-d44a-4f3e-839d-a87881e3ce39
Telangana,Adilabad,Adilabad Rural,Arli (Buzurg),568987,30/2,2de07754-7c8f-4da7-a081-63fa499d534e
Telangana,Adilabad,Adilabad Rural,Ankapur,569005,37,db87f60f-83f7-4660-9f5f-b8cc3df0c169
Telangana,Adilabad,Adilabad Rural,Mallapur,568977,20,be790512-b4a5-473a-afc7-6cbfc8636e1b
Telangana,Adilabad,Adilabad Rural,Burnoor,568999,13/31,2bb309a2-2e53-452b-8041-5f6b9f18dfc3
Telangana,Adilabad,Adilabad Rural,Tantoli,568997,20,dd82624c-a03a-4eac-bba4-f533cdfd6ed6
Telangana,Adilabad,Adilabad Rural,Chanda -T,568983,5,aab7f6ac-ebc9-478c-b67f-ace7dbaafddc
